id,date,amount,sector,IBAN,pod_sector
285,5/26/2024,"€744,06",Health and Wellness,NL28 QCFL 2365 0400 68,Vitamins
286,5/27/2024,"€165,05",Entertainment,DK70 4470 8634 3053 59,Music Lessons
287,6/9/2024,"€190,83",Transportation,MD70 LDVX ICYF YMYP HXKJ O876,Car Rental
288,12/16/2023,"€54,96",Family,MU53 ILGA 8014 0249 7491 7328 342Z OC,Groceries
289,8/26/2024,"€886,15",Housing and Rent,SE54 7493 8304 6576 3147 2286,Maintenance
290,8/24/2024,"€541,73",Travel,AT85 6796 7005 1660 4648,Vacation Packages
291,8/4/2024,"€843,73",Shopping,AD76 4242 5995 3NKE MZST JXQO,Jewelry
292,2/6/2024,"€771,85",Housing and Rent,IE07 MTCC 2680 2591 6544 22,Phone
293,2/16/2024,"€411,42",Family,SE81 9498 9149 2246 5663 0172,Groceries
294,2/3/2024,"€243,37",Groceries,SE15 7572 4710 6674 7717 5532,Cleaning Supplies
295,7/7/2024,"€709,34",Travel,ES59 4456 0664 2202 3575 4787,Public Transport
296,10/16/2024,"€369,41",Groceries,BE18 3334 7816 7898,Household Items
297,4/10/2024,"€89,34",Transportation,FR38 3941 8114 44ML KR5Q MOCQ K41,Insurance
298,6/2/2024,"€94,94",Groceries,AZ19 ASFI 6SG7 66AU 61XE KZ90 JYIE,Bakery
299,3/27/2024,"€580,06",Shopping,VG59 OPOU 2549 6330 5880 9021,Outdoor Gear
300,3/31/2024,"€378,57",Family,FR39 6022 9698 66VZ OXT6 UXHD H61,Birthday Gifts
301,8/27/2024,"€386,78",Shopping,FR24 8081 3287 31CW EFM7 VOOR J32,Books
302,5/8/2024,"€279,72",Family,EE65 4940 3264 3286 0394,Toys
303,4/21/2024,"€705,50",Groceries,CR52 2736 0056 8974 8665 5,Seafood
304,1/22/2024,"€73,65",Dining and Restaurants,MU82 ZDNV 7522 9808 1229 3545 216L UI,Coffee Shops
305,8/7/2024,"€56,86",Insurance,CY16 0174 3201 KF8U 52IT A2IQ 8HFT,Mortgage Insurance
306,12/18/2023,"€56,02",Dining and Restaurants,BG39 ABRR 6920 05LH H9ZP NP,Bakeries
307,2/15/2024,"€901,11",Housing and Rent,DO77 1L4P 3963 2642 7793 7525 1015,Mortgage
308,6/26/2024,"€190,94",Insurance,CR02 8369 6179 2612 4697 0,Life Insurance
309,9/2/2024,"€127,01",Insurance,FR50 1961 7076 71DH FFDQ GIBC J24,Disability Insurance
310,1/29/2024,"€644,08",Family,PL48 5084 5102 3001 6753 6662 7714,Birthday Gifts
311,9/29/2024,"€384,28",Dining and Restaurants,FR09 9767 0020 69SD GRGE YIJE A95,Food Trucks
312,6/29/2024,"€996,41",Housing and Rent,GI70 YYSY IXS8 POYT MVWS V2Z,Internet
313,2/15/2024,"€453,14",Family,FR74 1172 1471 47OZ RHBG DQFS D03,Pet Care
314,2/22/2024,"€639,90",Travel,FR81 4696 3650 34TI YS62 WW7K Q79,Rental Cars
315,6/1/2024,"€151,91",Shopping,EE04 9911 6013 1554 7193,Accessories
316,3/21/2024,"€544,30",Insurance,GB67 MLDG 8612 0898 6636 43,Renters Insurance
317,4/5/2024,"€774,53",Travel,KZ35 249E TBQ3 MJ0A V6O0,Travel Gear
318,6/30/2024,"€532,14",Travel,BE04 9892 5921 9368,Cruises
319,4/22/2024,"€114,63",Transportation,RO27 FCJN T0CQ WHB6 ST4I 4Y2Q,Public Transport
320,10/26/2024,"€606,51",Transportation,FR82 3232 2193 11IL NYEQ L8TY F94,Public Transport
321,4/24/2024,"€779,73",Health and Wellness,IS66 2986 3694 1008 6394 9036 73,Yoga Classes
322,1/22/2024,"€39,96",Health and Wellness,PK67 PXJA FYBN GW7F IBFE YNPO,Dentist
323,11/6/2024,"€673,94",Housing and Rent,LT62 8355 4189 5014 9265,Gas
324,4/10/2024,"€742,44",Insurance,GE88 OG82 2917 6758 9135 13,Auto Insurance
325,6/26/2024,"€244,41",Entertainment,LB85 5694 ERMP ODFV PWFF S62H XE1V,Live Theater
326,9/10/2024,"€656,82",Dining and Restaurants,GR14 8516 8426 1J4Y IDY5 7HSY 0AX,Coffee Shops
327,9/9/2024,"€653,15",Shopping,AT07 4099 6932 8157 4534,Outdoor Gear
328,5/3/2024,"€493,14",Dining and Restaurants,MC94 4173 0485 69OU FTVH N9NF X04,Bars
329,6/8/2024,"€136,57",Transportation,FR72 0785 0097 57E1 KJGW NDIV U40,Car Loan
330,8/8/2024,"€423,75",Transportation,HU40 6029 7668 8417 4353 8353 1991,Public Transport
331,8/31/2024,"€328,45",Transportation,MR89 4094 2224 1845 9767 3579 304,Electric Vehicle Charging
332,10/27/2024,"€667,01",Insurance,MK73 049V VL09 UX18 I21,Life Insurance
333,12/20/2023,"€957,76",Insurance,MK87 9345 AP6R GIHW H32,Travel Insurance
334,7/31/2024,"€748,90",Insurance,RS55 1330 8247 8660 9667 09,Business Insurance
335,8/29/2024,"€226,87",Travel,MD95 N6UK 0FXF IMQJ HQO2 EKRN,Hotels
336,5/4/2024,"€238,74",Entertainment,SM65 C361 9183 195R RHC0 6MP6 XAZ,Museums
337,9/29/2024,"€642,35",Groceries,HU09 7607 3859 4583 6769 5052 0719,Snacks
338,12/25/2023,"€345,03",Entertainment,GR72 0689 8296 K21P ZWWS AAET GOG,Amusement Parks
339,7/2/2024,"€797,63",Housing and Rent,PL06 7250 2510 3115 4846 5919 7236,Repairs
340,10/26/2024,"€14,42",Travel,FR76 5381 6954 38P2 MRFI KJTJ A30,Travel Gear
341,5/14/2024,"€978,05",Shopping,GI74 LVIQ VTTY 0M3Y UIDX JMY,Clothing
342,5/20/2024,"€248,03",Entertainment,SK48 1364 9953 0315 9635 0303,Escape Rooms
343,10/11/2024,"€156,86",Travel,MK34 295H DBAL ZVAY X39,Vacation Packages
344,12/13/2023,"€760,61",Insurance,NO14 2585 6253 440,Dental Insurance
345,7/8/2024,"€141,04",Insurance,EE65 1823 3920 2450 4514,Home Insurance
346,5/3/2024,"€264,17",Transportation,FO97 0806 8553 2465 63,Rideshare
347,9/21/2024,"€200,76",Travel,FR27 4616 0474 37IG EINL ATUJ X22,Food & Dining
348,12/22/2023,"€516,97",Transportation,FR63 0569 9923 64VQ KNWP GYKY S98,Car Rental
349,10/10/2024,"€979,14",Transportation,HU03 5777 7913 3926 8951 7308 8515,Public Transport
350,7/23/2024,"€747,86",Transportation,FR91 3901 8844 76OP SHBO FWUU 613,Rideshare
351,6/18/2024,"€819,78",Travel,MD71 RXJ3 MR1I IV1V SLVZ NL0E,Flights
352,5/2/2024,"€200,65",Entertainment,AD43 6034 0938 NAAK XDBH MMGR,Streaming Services
353,12/26/2023,"€128,11",Insurance,BH42 MAWS URZE EXYH AQJ5 OO,Travel Insurance
354,2/25/2024,"€971,49",Travel,MR56 9466 7769 6674 8275 7582 134,Luggage
355,1/23/2024,"€532,95",Housing and Rent,GB38 ELVU 1831 5054 5228 84,Repairs
356,9/28/2024,"€658,14",Insurance,FR11 4844 4772 90AE FFHH V8YR U22,Business Insurance
357,5/27/2024,"€371,03",Insurance,AD24 8052 5427 XHXJ CGPT R2OQ,Liability Insurance
358,3/19/2024,"€441,85",Transportation,PK70 LLDP FJAP 3RJH UZV7 KWMB,Vehicle Maintenance
359,2/9/2024,"€347,29",Travel,CY44 5994 4303 JZK4 7X9D 2KIV SL9B,Tourist Attractions
360,1/28/2024,"€527,25",Travel,BA91 8913 7807 1452 3983,Food & Dining
361,10/19/2024,"€645,40",Groceries,FR87 0721 4582 69QQ BCTZ QSFC 537,Cleaning Supplies
362,6/17/2024,"€778,17",Health and Wellness,SI81 6711 3629 3602 299,Optometrist
363,6/9/2024,"€312,08",Shopping,ES56 6480 9918 8289 0248 1246,Gifts
364,11/4/2024,"€516,47",Shopping,SM78 O688 9461 705X C9VF OYCZ DSF,Books
365,4/10/2024,"€53,40",Shopping,FO15 4284 7353 6311 01,Books
366,12/27/2023,"€505,47",Family,TN44 2703 5547 9671 7177 1855,Extra-Curricular Activities
367,9/2/2024,"€840,31",Transportation,AT96 9618 1460 5774 6391,Car Rental
368,4/30/2024,"€160,61",Insurance,IL43 2514 5569 6018 0750 486,Travel Insurance
369,11/23/2023,"€293,33",Housing and Rent,DE54 5176 4054 6575 8000 06,Gas
370,4/10/2024,"€450,65",Travel,FR82 6606 6319 414M VCW6 TT6V F99,Souvenirs
371,9/7/2024,"€797,65",Insurance,CH49 4401 48AX XVLN GHSZ W,Life Insurance
372,12/19/2023,"€786,70",Dining and Restaurants,IL96 2367 8549 4484 8807 854,Pubs
373,5/5/2024,"€802,22",Entertainment,GT31 NDM2 TGAD UI7W 1ZKC 3LE3 HTPQ,Movies
374,8/7/2024,"€748,83",Travel,MK25 682D XMBO KXGX T31,Public Transport
375,9/30/2024,"€924,56",Dining and Restaurants,IL88 8082 3313 7613 2674 011,Coffee Shops
376,2/25/2024,"€382,93",Dining and Restaurants,ES82 3648 2110 2537 2321 7836,Bars
377,12/27/2023,"€223,28",Travel,FR49 0909 6585 35NX 0J39 O34Q C20,Travel Gear
378,5/9/2024,"€74,61",Health and Wellness,FR56 0290 6480 13TN WSXH 4LRU J46,Wellness Retreats
379,12/16/2023,"€55,92",Shopping,KW18 JYPF OVPD IR3K 5O7G MHOL OJBV KE,Furniture
380,4/5/2024,"€211,87",Insurance,IL78 1111 4620 1726 3118 751,Umbrella Policy
381,10/22/2024,"€345,11",Health and Wellness,FR92 3859 4861 1454 E7B1 2GE9 R90,Chiropractor
382,3/3/2024,"€56,98",Family,DE18 4434 0533 5775 4550 19,Home Essentials
383,3/8/2024,"€761,98",Travel,IT36 Q881 4423 996B 24GH SOVL UXI,Tourist Attractions
384,5/24/2024,"€249,80",Entertainment,BE97 3479 0579 0500,Concerts
385,6/9/2024,"€734,73",Travel,BE63 8708 6670 1051,Travel Gear
386,9/2/2024,"€23,38",Housing and Rent,FR69 4518 1274 48IG O974 4M90 Y28,Water
387,1/5/2024,"€704,02",Insurance,GI77 AUOU UI4A WGS7 Z8EO 2P1,Disability Insurance
388,12/1/2023,"€712,21",Housing and Rent,FR75 5479 1360 95PL GQIF IXEY F61,Home Security
389,11/20/2023,"€657,79",Family,SK81 7387 4572 9054 5488 6229,Books
390,8/12/2024,"€412,13",Entertainment,TR87 5941 6SBZ GBPY H0F6 BQYW AA,Video Games
391,12/19/2023,"€358,96",Transportation,GE09 CZ35 5277 4486 2156 42,Parking
392,1/6/2024,"€793,18",Travel,LT70 6870 9639 5619 4494,Souvenirs
393,8/21/2024,"€129,18",Entertainment,DK46 9029 5171 0118 74,Art Exhibitions
394,3/16/2024,"€314,31",Transportation,HU63 2654 9268 5145 2469 4873 6038,Train
395,2/2/2024,"€12,51",Health and Wellness,CY52 9862 2843 WV9K HMIZ 8LRP 5VLK,Pharmacy
396,6/25/2024,"€310,32",Groceries,FR79 6514 3635 05WO 8X8Q AHTF J57,Seafood
397,2/21/2024,"€819,86",Shopping,LI57 3393 1AXC HUS2 LEAH 5,Books
398,2/13/2024,"€801,18",Family,BE13 7108 3103 5544,Pet Care
399,8/3/2024,"€482,36",Health and Wellness,CZ49 3039 9760 6040 9529 3913,Wellness Retreats
400,8/23/2024,"€189,22",Housing and Rent,SE16 5401 5720 3541 4852 9886,Gas
401,10/4/2024,"€558,06",Shopping,DK57 6091 5019 5799 46,Sports Equipment
402,6/16/2024,"€596,70",Health and Wellness,BH62 ESQN BJBX 90FD IH02 W5,Optometrist
403,5/19/2024,"€739,88",Insurance,CZ49 0175 3374 8390 7165 1907,Mortgage Insurance
404,12/16/2023,"€238,07",Insurance,AD98 8730 8532 LXH2 XXOS IRAN,Vision Insurance
405,5/4/2024,"€853,46",Insurance,CR73 2737 7057 5784 4773 7,Liability Insurance
406,4/30/2024,"€726,76",Transportation,PS40 XMWJ KQMI DVZI QK5Z BYMU RRWM B,Rideshare
407,12/13/2023,"€163,03",Shopping,FR47 9892 8631 77HG W3GX FJ25 224,Outdoor Gear
408,9/6/2024,"€266,11",Family,PT71 3777 5801 3366 1657 9643 2,Birthday Gifts
409,10/16/2024,"€343,53",Shopping,EE25 9174 4823 4702 1143,Shoes
410,12/16/2023,"€140,68",Insurance,FR81 7908 7415 58XT UOSZ BTFL O60,Dental Insurance
411,3/21/2024,"€917,12",Groceries,ES16 7905 6095 6223 3727 9165,Cleaning Supplies
412,11/7/2024,"€275,10",Family,GE67 EA00 9943 3058 0401 63,Toys
413,11/6/2024,"€58,74",Dining and Restaurants,LB25 5487 X6YZ HUC7 KTIR JTFX HKTN,Bakeries
414,11/23/2023,"€349,02",Insurance,ME39 1812 0271 5303 5256 78,Health Insurance
415,6/23/2024,"€996,07",Entertainment,IS04 0589 3315 2252 2387 3794 69,Concerts
416,4/14/2024,"€63,74",Health and Wellness,FR30 1036 0636 63JS DO79 IZAR A21,Health Insurance
417,12/13/2023,"€934,49",Dining and Restaurants,PT65 6714 2446 6767 6230 7308 0,Cafes
418,9/9/2024,"€217,82",Dining and Restaurants,CH40 9078 0SCJ 3YNS G0BK 6,Delivery Services
419,10/5/2024,"€310,78",Health and Wellness,ES46 9785 7739 6385 3923 9543,Chiropractor
420,7/23/2024,"€367,13",Dining and Restaurants,LB09 3071 GRRT O9QB 9YC2 AUFP EGMD,Brunch Spots
421,2/27/2024,"€583,18",Shopping,VG52 XCBQ 5400 2638 1955 8618,Gifts
422,6/17/2024,"€775,20",Travel,TR07 9110 8G25 HK5W GODC UGOE HZ,Vacation Packages
423,6/6/2024,"€595,72",Groceries,PS32 GJOX 7ROF 4MII NNCT T0JK LDW5 B,Cleaning Supplies
424,1/31/2024,"€113,47",Groceries,FR12 5109 4274 52YN CPMX I6OA J43,Personal Care
425,3/14/2024,"€543,73",Groceries,EE57 5975 6893 1918 3644,Pet Supplies
426,6/1/2024,"€487,35",Family,MU76 CVZQ 8805 6777 1074 2397 945V JQ,Health Insurance
427,8/31/2024,"€322,89",Shopping,LV59 RMEC OB8A MMW2 TU7G Y,Clothing
428,10/9/2024,"€566,36",Transportation,DE72 1177 5572 9349 2969 36,Electric Vehicle Charging
429,7/13/2024,"€224,82",Family,FR97 3927 7340 859C 9N5J SIPA J51,Extra-Curricular Activities
430,6/12/2024,"€193,28",Insurance,PT59 2443 3062 5071 3447 3463 6,Umbrella Policy
431,10/21/2024,"€285,27",Insurance,FO16 5689 7284 4046 33,Renters Insurance
432,3/30/2024,"€676,71",Health and Wellness,IL21 4367 9604 4669 2712 738,Doctor Visits
433,3/15/2024,"€227,54",Insurance,SE42 5774 0435 8959 7655 5774,Dental Insurance
434,11/18/2023,"€639,23",Health and Wellness,FR54 0536 9501 45UR VVQ1 55JO S15,Wellness Retreats
435,3/13/2024,"€613,64",Groceries,FR15 0167 1940 839O XKWH 0P3X Q76,Seafood
436,11/7/2024,"€938,94",Entertainment,FR90 7512 7633 82GH WCLC TQDS O95,Bowling
437,9/29/2024,"€446,96",Health and Wellness,HR49 0746 0755 4993 8749 3,Therapy
438,2/17/2024,"€720,58",Entertainment,DK30 7376 0670 0323 26,Amusement Parks
439,7/12/2024,"€935,67",Family,IL32 6372 9026 8672 6202 626,Child Entertainment
440,9/5/2024,"€62,10",Insurance,MR80 7203 3482 8955 8843 1276 490,Umbrella Policy
441,5/14/2024,"€929,38",Groceries,FR34 1885 2412 76XX V6CA UHTQ C70,Beverages
442,4/9/2024,"€933,31",Transportation,FR28 8966 5792 576A APSU 6BIM T13,Insurance
443,7/14/2024,"€855,52",Housing and Rent,KW05 KOSI FPJU WVDZ WAS3 IIKR LRZY GW,Maintenance
444,9/25/2024,"€160,38",Groceries,LB38 8342 4FKA OKQU RYCM WZYT GX0R,Seafood
445,11/22/2023,"€824,32",Shopping,LV17 PRBM A6TT DGS9 GBNT P,Furniture
446,8/9/2024,"€233,44",Health and Wellness,FR02 8606 9582 83TD IKYP SYIB Z25,Nutrition
447,3/1/2024,"€411,62",Travel,DO47 C6QE 1668 0840 5994 9790 4457,Excursions
448,12/22/2023,"€671,83",Health and Wellness,FO90 5756 0429 3365 89,Vitamins
449,10/29/2024,"€548,78",Groceries,DE38 0776 2381 6730 9279 56,Canned Goods
450,2/24/2024,"€784,32",Travel,FR37 5598 9177 31EK A9M1 ZBH7 Q98,Souvenirs
451,12/1/2023,"€862,51",Health and Wellness,HR37 3526 5517 9724 8124 5,Optometrist
452,1/21/2024,"€176,34",Transportation,DK73 2017 3022 5148 49,Public Transport
453,4/8/2024,"€606,53",Entertainment,AT28 7421 7633 6603 8176,Art Exhibitions
454,2/8/2024,"€889,18",Housing and Rent,FR77 4807 3043 42G4 OVTJ COKP R74,Maintenance
455,10/7/2024,"€445,20",Dining and Restaurants,PT45 6451 3956 4342 5181 2531 1,Delivery Services
456,7/18/2024,"€927,42",Groceries,FR17 4565 4803 642I YXCF RSA4 C15,Snacks
457,8/31/2024,"€323,80",Shopping,FR19 9051 5632 500M FEM7 TFG7 Q59,Gifts
458,8/9/2024,"€872,24",Dining and Restaurants,PL77 2457 6089 5593 6035 8678 3951,Takeout
459,5/9/2024,"€484,61",Transportation,SE80 0527 7286 3779 1093 3123,Public Transport
460,7/4/2024,"€954,19",Groceries,FR62 6827 6578 56FW DQVR WVCA I39,Condiments
461,2/5/2024,"€22,78",Dining and Restaurants,SK43 8062 0922 9229 6852 7428,Bars
462,2/5/2024,"€942,40",Groceries,GI55 PZYZ 6AZ4 HTL5 JFXW EJ3,Vegetables
463,7/24/2024,"€521,62",Housing and Rent,ME68 3784 7023 1366 3340 25,Repairs
464,7/12/2024,"€517,24",Housing and Rent,FR67 2521 4954 552H NZAP JRIV X19,Home Improvements
465,8/13/2024,"€643,48",Transportation,VG35 NBFL 6851 4976 9418 9809,Vehicle Maintenance
466,3/9/2024,"€626,28",Groceries,LV10 KCIL 7K3C UEJJ 16GH 5,Bakery
467,11/26/2023,"€279,71",Health and Wellness,FO10 9123 0496 0858 77,Physical Therapy
468,2/26/2024,"€482,82",Housing and Rent,SK72 0185 1023 4699 9927 6052,Electricity
469,2/17/2024,"€474,53",Dining and Restaurants,FR81 2246 4469 85HX EWQF ZUTE Q59,Delivery Services
470,11/1/2024,"€378,22",Insurance,FO92 0416 4393 3114 44,Critical Illness Insurance
471,11/16/2023,"€296,76",Entertainment,DO49 R76Y 6524 0747 3073 2641 4150,Music Lessons
472,5/26/2024,"€343,45",Entertainment,MR77 6612 4919 0123 4495 9403 191,Sports Events
473,3/26/2024,"€11,33",Dining and Restaurants,KW18 MNTK QC89 RKJ2 27BL 2KYA VWL0 NB,Brunch Spots
474,6/6/2024,"€993,88",Dining and Restaurants,LV26 BAIC NCI1 ZYXQ CACL D,Delivery Services
475,8/7/2024,"€675,92",Family,SM66 O958 1301 111O AKQV 6NIB KNL,Books
476,9/23/2024,"€63,84",Dining and Restaurants,IS27 0812 6345 9001 0477 9925 98,Coffee Shops
477,4/26/2024,"€747,47",Insurance,DE69 5087 4455 8752 7516 33,Pet Insurance
478,6/16/2024,"€80,75",Insurance,TR51 6912 99P8 CZAB 8EPT COUT PP,Home Insurance
479,10/25/2024,"€790,44",Entertainment,IT31 M205 2447 975T QNPP AVWR IDO,Concerts
480,7/7/2024,"€502,37",Groceries,BA17 5683 9364 7260 9572,Household Items
481,11/2/2024,"€939,27",Dining and Restaurants,AZ02 XYKW OMT3 DCJV VWJ0 OX3D 1RF6,Bars
482,2/2/2024,"€344,81",Dining and Restaurants,FR32 0399 9641 25EY WLJX ZTG9 O78,Dessert Shops
483,6/30/2024,"€713,77",Shopping,FR79 8470 1447 407E 2NFH G872 T99,Stationery
484,11/17/2023,"€657,58",Entertainment,TR44 7403 2P1Q PW7Z J5U3 UBHT PD,Art Exhibitions
485,11/2/2024,"€730,02",Housing and Rent,FR34 6919 9195 28EG HJEQ BLWB P25,Furniture
486,9/21/2024,"€594,81",Travel,LB83 3707 UEBL FEXI SURX HNCN DYAC,Flights
487,1/15/2024,"€779,87",Entertainment,AE51 3062 5727 9146 3193 198,Museums
488,3/16/2024,"€267,48",Travel,BA52 2583 7362 7303 9788,Visas
489,8/8/2024,"€830,93",Travel,IS22 8231 9870 2806 1616 9315 04,Rental Cars
490,3/19/2024,"€996,95",Family,AL62 7389 4212 UJ91 J5VZ I1CB XV96,Child Entertainment
491,6/6/2024,"€939,57",Health and Wellness,PS92 CICC A8BD VKM0 XFWO QFON QAGR D,Dentist
492,11/3/2024,"€336,50",Entertainment,FR28 9155 8502 186R GPCY 1JLN 626,Streaming Services
493,6/9/2024,"€704,75",Dining and Restaurants,AE92 9538 5497 0542 3229 786,Pubs
494,7/7/2024,"€775,12",Groceries,PK37 VPVO GL3Z WOUM LKAJ 06YT,Beverages
495,11/14/2023,"€820,36",Insurance,AD24 4730 6861 3MVQ HGKM XKJR,Travel Insurance
496,8/31/2024,"€270,74",Travel,DO32 WXWN 0725 9722 0198 4895 7432,Hotels
497,4/7/2024,"€239,05",Shopping,BR55 7963 6757 1303 5449 1767 465V O,Accessories
498,9/6/2024,"€891,02",Travel,BR86 4768 9175 2550 7410 6655 778H S,Luggage
499,8/18/2024,"€644,66",Health and Wellness,FR55 6708 7957 54OO 3KZT ZPQU 541,Massage
500,6/16/2024,"€573,79",Insurance,FR42 8942 6079 06TJ NFS2 HEN9 G93,Life Insurance
501,6/11/2024,"€519,16",Insurance,DE87 6032 3855 8789 2473 41,Home Insurance
502,9/12/2024,"€649,04",Health and Wellness,LI73 8198 6BG2 CEGD EQXK P,Vitamins
503,12/10/2023,"€583,70",Housing and Rent,HR60 0604 3265 0536 1401 4,Home Security
504,6/15/2024,"€930,86",Dining and Restaurants,FR71 9203 0476 38ZE OH3I MXTR A01,Brunch Spots
505,4/8/2024,"€895,46",Insurance,MR68 1062 0216 2994 5416 9735 082,Disability Insurance
506,1/16/2024,"€868,65",Shopping,EE57 5871 8602 3218 9647,Appliances
507,2/14/2024,"€781,29",Family,FR81 5458 9788 807A RMLD WQ4W G18,Extra-Curricular Activities
508,3/23/2024,"€900,64",Housing and Rent,GT60 KLQN TSQK 1KWM 83MY DO72 LUDD,Property Tax
509,11/25/2023,"€860,67",Dining and Restaurants,BH61 NOTE 9EPD GUHH IIRK SA,Brunch Spots
510,1/21/2024,"€351,20",Housing and Rent,NL71 AXFQ 8106 9883 63,Rent
511,9/26/2024,"€121,12",Health and Wellness,LV21 SAQN 5OZZ CB59 PQ8D E,Health Insurance
512,12/9/2023,"€740,08",Travel,SM11 K178 3599 4862 VPPD C3Y6 45B,Travel Insurance
513,2/27/2024,"€152,72",Family,AZ53 FZLO FBEN L7PD FDX9 LJXS BCAN,Child Entertainment
514,9/2/2024,"€637,93",Transportation,SI59 3020 8787 0063 838,Taxi
515,5/21/2024,"€46,10",Travel,IS16 7981 3622 4671 5167 7959 77,Hotels
516,11/26/2023,"€786,39",Family,BA06 9712 4102 7552 3382,School Fees
517,12/17/2023,"€854,27",Dining and Restaurants,FR39 0229 6823 16AK 3NPS LEFQ Q88,Ethnic Cuisine
518,3/28/2024,"€54,67",Health and Wellness,MK75 788G UU2P TT5G V77,Chiropractor
519,7/24/2024,"€551,51",Health and Wellness,GL82 9683 9405 7481 86,Gym Membership
520,10/10/2024,"€773,08",Family,RS93 7927 6698 3300 1966 11,Holidays
521,1/14/2024,"€462,88",Travel,FR38 9636 7748 75QY LMIE 1CXQ W45,Public Transport
522,10/29/2024,"€529,46",Groceries,SI84 6295 0127 8373 023,Snacks
523,7/9/2024,"€201,17",Family,DO35 0EQM 2179 8753 9107 4335 7070,Childcare
524,11/16/2023,"€132,94",Health and Wellness,FR34 5484 6639 43O3 P6H9 C91E F14,Pharmacy
525,9/27/2024,"€853,00",Travel,FR85 8380 2673 99IH O3A4 NOAX R78,Airport Transfers
526,3/30/2024,"€67,29",Entertainment,FR15 9686 1253 24KK GWB5 CLUU L73,Music Lessons
527,9/19/2024,"€418,66",Family,HU74 2652 2795 1793 6763 3497 6488,Health Insurance
528,11/5/2024,"€650,70",Family,RO86 SNFL 5YAD CCXU NLFZ LIZG,Groceries
529,6/5/2024,"€638,18",Insurance,FR23 1278 5642 43UD FDXD 26ZU O32,Auto Insurance
530,12/14/2023,"€991,20",Family,MK63 871F NZBX CQRR C18,Childcare
531,9/22/2024,"€10,74",Insurance,RO93 QPIH EII3 SNFF JMKE WKDU,Dental Insurance
532,12/8/2023,"€141,12",Family,NL22 ZQLF 8954 6618 96,Groceries
533,7/24/2024,"€518,22",Health and Wellness,NL09 GGXM 5814 2791 65,Gym Membership
534,7/2/2024,"€822,24",Shopping,NL72 ZAHK 9722 6736 55,Books
535,2/11/2024,"€811,76",Entertainment,LU51 609N I7BS EEC4 HWLS,Movies
536,7/20/2024,"€759,37",Entertainment,MK28 9436 DNSD O3BL Y62,Art Exhibitions
537,3/27/2024,"€653,97",Transportation,LB97 0836 H6BF GNDP WPHE SS6N 0YU4,Car Loan
538,12/7/2023,"€680,78",Family,MU71 AZRJ 5686 7173 6354 8294 301R CH,Holidays
539,4/3/2024,"€911,06",Housing and Rent,MK32 813D EZWY 68HE X02,Maintenance
540,3/27/2024,"€569,40",Transportation,BA25 1860 0459 1777 7923,Insurance
541,1/26/2024,"€15,21",Family,BR36 3906 9580 2917 7225 7610 619E B,Birthday Gifts
542,4/11/2024,"€789,43",Family,NO34 7606 1419 475,Tutoring
543,12/17/2023,"€752,21",Dining and Restaurants,FR50 8545 6831 73MI SN4U LRXP X67,Ethnic Cuisine
544,5/16/2024,"€951,23",Health and Wellness,GI24 VKNB UG3K IQER LRNI I2B,Yoga Classes
545,3/14/2024,"€304,04",Family,EE85 1303 9485 5500 3959,Groceries
546,6/18/2024,"€210,09",Health and Wellness,FR98 2155 1344 45BZ 7LPO WQGH W15,Yoga Classes
547,9/14/2024,"€489,99",Insurance,FR82 9387 4333 551O DHVV BYSC 801,Critical Illness Insurance
548,11/7/2024,"€622,30",Housing and Rent,FO77 0102 2088 0149 15,Home Security
549,1/7/2024,"€588,86",Entertainment,AD86 2887 6378 YOIZ CXQN B12M,Dance Classes
550,11/3/2024,"€414,68",Housing and Rent,PL49 4616 5725 3106 4001 3613 4770,Water
551,8/31/2024,"€46,98",Travel,NO08 5984 8003 900,Flights
552,5/20/2024,"€644,59",Health and Wellness,SA04 98J2 UGPB NY1F US3M MO19,Wellness Retreats
553,7/12/2024,"€207,82",Health and Wellness,NO85 2662 4198 446,Optometrist
554,4/27/2024,"€318,47",Groceries,KW67 CACL DPYV UIZN ZNAN EDTF SBYZ FL,Condiments
555,2/5/2024,"€365,90",Travel,FO87 1394 6170 9039 45,Luggage
556,4/2/2024,"€146,84",Transportation,LT82 9740 2444 0065 7977,Train
557,1/12/2024,"€751,25",Dining and Restaurants,SE49 2999 3124 5790 7936 2916,Fine Dining
558,11/10/2023,"€679,10",Family,GL49 8433 0599 1078 62,Health Insurance
559,7/12/2024,"€27,74",Dining and Restaurants,FR18 4053 3288 33RZ M8RC QC0Y W45,Fine Dining
560,12/30/2023,"€424,03",Health and Wellness,LT31 0201 8688 3187 2326,Massage
561,12/5/2023,"€75,96",Family,SI83 9903 7540 5337 901,Holidays
562,11/26/2023,"€609,69",Entertainment,IS32 2760 5291 8346 8344 3471 33,Hobbies
563,6/7/2024,"€33,17",Shopping,ME57 4845 0000 8906 2575 17,Accessories
564,9/27/2024,"€756,04",Housing and Rent,DK38 3897 0729 4543 27,Insurance
565,7/14/2024,"€931,32",Insurance,GE54 IH19 4522 9001 4068 32,Disability Insurance
566,9/29/2024,"€182,15",Health and Wellness,IE80 NDDA 7919 6515 7527 88,Nutrition
567,8/20/2024,"€893,90",Dining and Restaurants,FR64 2907 8985 07EU GTVW N3SD T05,Bars
568,8/24/2024,"€464,37",Family,GR38 0921 735L XJXZ VC46 MPOA EKR,Family Events
